ad_id,title,description,category,type,target_url,cta
ad-sports-1,MatchDay+,Stream highlights and sports talk.,Sports,targeted,https://example.com/sports,Explore Sports
ad-business-1,FinTrack Pro,Track markets and business insights in one place.,Business,targeted,https://example.com/business,View Markets
ad-entertainment-1,SceneNow,Discover what to watch next across movies and streaming.,Entertainment,targeted,https://example.com/entertainment,See Picks
ad-health-1,MoveWell,Build healthy routines with guided wellness plans.,Health,targeted,https://example.com/health,Start Healthy
ad-travel-1,Coastline Escapes,Plan quick rail-friendly getaways with curated stays.,Travel,targeted,https://example.com/travel,Plan a Trip
ad-lifestyle-1,HomeLayer,Refresh your space with smart decor ideas.,Lifestyle,targeted,https://example.com/lifestyle,See Decor
ad-food-1,PantryBox,Discover chef-inspired ingredients and easy meal kits.,Food,targeted,https://example.com/food,Order Now
ad-general-1,DailyBundle,Stay informed with curated news and lifestyle offers.,General News,targeted,https://example.com/news,Learn More
ad-generic-1,Everyday Saver,Explore practical offers for daily essentials.,Generic,generic,https://example.com/generic,Shop Offers
ad-generic-2,Demo Brand Plus,See how a generic sponsor placement works in this prototype.,Generic,generic,https://example.com/demo,Visit Sponsor
